Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,C LEXT,
"C10, C12, C14, C16, C18, C20, C6, C7, C8, C9",0603,10,100nF,
"C11, C24, C36, C4, C44, C46, C_OUT1, C_OUT2, C_OUT3, C_OUT4, C_OUT5",0603,11,10uF,
"C13, C15, C17, C19, C21",0603,5,1nF,
"C22, C23, C25, C35, C37, C39, C40, C41",0603,8,0.1uF,
"C26, C38, C42, C43",0603,4,22uF,
C3,0603,1,100pF,
C34,0603,1,4.7uF,
C45,0603,1,47uF,
"C47, C5",0603,2,1uF,
"C_IN1, C_IN2, C_IN3, C_IN4, C_IN5",0603,5,10u F,
D3,0603,1,LED,
H2,PC104-Standard,1,~,
"J1, J2, J3, J4, J5","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",5,SOLAR,
J8,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Conn_01x02_Socket,
J9,SMA_Amphenol_132134-11_Vertical,1,Conn_Coaxial_Small,
"L1, L2, L3, L4, L5",L_Coilcraft_XAL6060-XXX,5,100 uh,
L6,0805,1,10uH,
L7,L_Wuerth_MAPI-4020,1,2.7uH,
L8,L_Wuerth_MAPI-4020,1,2.2uH,
R1,0603,1,300,
"R10, R13, R16, R4, R7",0603,5,820K,
"R11, R14, R17, R5, R8",0603,5,400K,
"R12, R15, R18, R19, R3, R6, R9",0603,7,1k,
R2,0603,1,2.2k,
"R20, R22, R24, R35, R36",0603,5,10k,
R21,0603,1,73.2k,
R23,0603,1,45k,
"R27, R30",0603,2,5k,
R32,0603,1,5.23k,
R33,0603,1,30.1k,
R34,0603,1,3.16k,
SW1,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,1,SW_Push,
U1,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm,1,ATSAMD21J17A-M,
"U10, U9",SOT-23-6_Handsoldering,2,~,
"U11, U12",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,2,TMP117xxDRV,
U13,HOPERF_RFM69HW,1,RFM69W,
"U2, U3, U4, U5, U6",TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,5,SPV1040TTR,C221500
U7,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U8,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
Y1,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,Crystal_32.768kHz,
