Designator,Mid X,Mid Y,Rotation,Layer
C1,178.55,-69.025,270.0,top
C10,183.275,-77.95,180.0,top
C11,183.275,-79.45,180.0,top
C12,229.625,-57.35,0.0,top
C13,225.25,-50.25,0.0,top
C14,229.575,-68.3,0.0,top
C15,225.295,-61.22,0.0,top
C16,229.6,-79.5,0.0,top
C17,225.3,-72.425,0.0,top
C18,229.5,-90.425,0.0,top
C19,225.175,-83.35,0.0,top
C2,176.05,-69.025,270.0,top
C20,229.5,-101.65,0.0,top
C21,225.05,-94.7,0.0,top
C22,194.1625,-86.4375,270.0,top
C23,194.95,-95.1,270.0,top
C24,196.835936,-42.4,180.0,top
C25,199.810936,-42.4,0.0,top
C26,191.535936,-50.675,270.0,top
C3,196.5,-70.225,270.0,top
C34,223.4,-115.2,180.0,top
C35,193.035936,-50.675,270.0,top
C36,211.310936,-42.8,180.0,top
C37,214.320936,-42.8,0.0,top
C38,205.685936,-50.975,270.0,top
C39,207.185936,-50.975,270.0,top
C4,184.3,-68.6,270.0,top
C40,203.225,-113.0,90.0,top
C41,210.4,-113.125,90.0,top
C42,222.75,-105.75,0.0,top
C43,222.775,-104.0,0.0,top
C44,236.3,-110.125,270.0,top
C45,226.375,-113.75,0.0,top
C46,229.375,-113.75,180.0,top
C47,227.9,-109.4,180.0,top
C5,195.0,-70.225,90.0,top
C6,201.0,-81.5,180.0,top
C7,191.5,-85.5,90.0,top
C8,193.5,-70.225,270.0,top
C9,201.0,-74.5,180.0,top
C_IN1,235.575,-57.325,0.0,top
C_IN2,235.55,-68.3,0.0,top
C_IN3,235.575,-79.5,0.0,top
C_IN4,235.475,-90.475,0.0,top
C_IN5,235.475,-101.65,0.0,top
C_OUT1,219.3,-50.25,180.0,top
C_OUT2,219.325,-61.225,180.0,top
C_OUT3,219.325,-72.425,180.0,top
C_OUT4,219.225,-83.325,180.0,top
C_OUT5,219.1,-94.675,180.0,top
D3,216.1,-115.9125,90.0,top
H2,206.635,-78.645,0.0,top
J1,242.9,-55.0,90.0,top
J2,242.9,-66.05,90.0,top
J3,242.9,-77.1,90.0,top
J4,242.9,-88.1,90.0,top
J5,242.9,-99.1,90.0,top
J8,244.7,-110.15,180.0,top
J9,198.31,-102.59,0.0,top
L1,233.425,-53.055,270.0,top
L2,233.4,-64.03,270.0,top
L3,233.43,-75.205,270.0,top
L4,233.325,-86.155,270.0,top
L5,233.325,-97.375,270.0,top
L6,184.15,-73.125,90.0,top
L7,193.085936,-45.925,270.0,top
L8,207.160936,-46.04,270.0,top
R1,202.675,-70.0,180.0,top
R10,222.3,-72.425,180.0,top
R11,222.305,-73.9,180.0,top
R12,232.5,-90.45,180.0,top
R13,222.2,-83.35,180.0,top
R14,222.225,-84.825,180.0,top
R15,232.5,-101.65,180.0,top
R16,222.075,-94.7,180.0,top
R17,222.075,-96.2,180.0,top
R18,203.6,-87.025,180.0,top
R19,203.6,-88.525,180.0,top
R2,202.675,-68.5,0.0,top
R20,199.6,-95.025,270.0,top
R21,195.285936,-49.9,0.0,top
R22,198.3,-49.9,0.0,top
R23,209.435936,-50.225,0.0,top
R24,212.460936,-50.225,0.0,top
R27,195.225,-114.775,270.0,top
R3,232.6,-57.325,180.0,top
R30,197.475,-115.6,180.0,top
R32,226.4,-116.75,180.0,top
R33,220.375,-116.7,180.0,top
R34,226.4,-115.25,180.0,top
R35,223.4,-116.7,180.0,top
R36,220.4,-115.2,0.0,top
R4,222.275,-50.25,180.0,top
R5,222.275,-51.75,180.0,top
R6,232.55,-68.3,180.0,top
R7,222.3,-61.225,180.0,top
R8,222.3,-62.7,180.0,top
R9,232.59,-79.49,180.0,top
SW1,198.75,-63.0,0.0,top
U1,193.0875,-78.25,90.0,top
U10,212.360936,-46.2,180.0,top
U11,199.7125,-113.4,0.0,top
U12,206.9625,-113.35,0.0,top
U13,185.25,-108.6,90.0,top
U2,224.87,-54.765,0.0,top
U3,224.86,-65.695,0.0,top
U4,224.895,-76.885,0.0,top
U5,224.79,-87.835,0.0,top
U6,224.79,-99.06,0.0,top
U7,195.9125,-91.05,0.0,top
U8,222.0,-111.0,270.0,top
U9,198.210936,-46.15,180.0,top
Y1,177.15,-72.695,0.0,top
